,Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
0,MEEI -Longwood,Yes,Ambulatory Surgical Center,800 Huntington Ave,02115,76300,173.1,Not applicable to this property type,,Ambulatory Surgical Center,2012.0,969.9,12.7,13204950.4,47%,53%,0%,,,,,1000894000
1,Prime Motor Group,Yes,Automobile Dealership,1525-1607 VFW Parkway,02132,150000,28.7,Not applicable to this property type,,"Automobile Dealership, Parking",2005.0,416.1,2.8,4301102.3,100%,0%,0%,8.957333333333333,,,,2010643010
2,New England Center for Homeless Veterans,Yes,Barracks,17 Court St.,02108,130000,49.8,58,,Barracks,1908.0,626.7,4.8,6477934,100%,0%,0%,,,,,0302886000
3,Dental Health Building,Yes,College/University,1 Kneeland Street,02111,330486,284.7,Not applicable to this property type,,"College/University, Hospital (General Medical & Surgical)",1973.0,6978.7,21.1,94085400.2,26%,0%,74%,24.43764637533814,,"

Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.

330486  Total building GSF after vertical expansion   
-11174    part of 5th floor used by TMC
-10432    part of 6th floor used by TMC
308880",,0305380000
4,Posner Hall,Yes,College/University,200 Harrison Avenue,02111,60284,95.9,Not applicable to this property type,,College/University,1951.0,392.6,6.5,5778279.6,34%,66%,0%,20.015261097471967,,,,0305081000
5,Sackler Center,Yes,College/University,145 Harrison Avenue,02111,133787,149.9,Not applicable to this property type,,College/University,1986.0,1644.3,12.3,20055835.1,51%,0%,49%,15.246623364003977,,"Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.",,0305371000
6,1 Palace Rd-collegeUniversity,Yes,College/University,1 Palace Rd,02115,110327,124.5,Not applicable to this property type,,College/University,1995.0,1329.3,12,13740022.9,100%,0%,0%,,,,,0401844000
7,10 Coventry Street,Yes,College/University,10 Coventry Street,02115,69739,41.1,Not applicable to this property type,,College/University,2004.0,226.6,3.2,2868513.7,59%,41%,0%,21.43563859533403,,,,Not Available
8,140 The Fenway,Yes,College/University,140 The Fenway,02115,148145,210.3,Not applicable to this property type,,College/University,1912.0,2295.4,15.5,31151330.2,47%,53%,0%,16.74778089034392,,,,Not Available
9,177 Longwood Ave Dorms-collegeUniversity,Yes,College/University,177 Longwood Ave Dorms,02115,95631,57.5,Not applicable to this property type,,College/University,1995.0,532.2,5.6,5501374.2,100%,0%,0%,29.814599868243562,,,,0401844000
10,179 Longwood Ave-collegeUniversity,Yes,College/University,179 Longwood Ave,02115,347844,182.5,Not applicable to this property type,,College/University,1995.0,4501.3,12.9,63495490.6,41%,59%,0%,42.67113993629328,,,,0401844000
11,337 Huntington Avenue,Yes,College/University,337 Huntington Avenue,02115,50023,81.2,Not applicable to this property type,,College/University,1923.0,269.4,5.4,4063566.4,19%,58%,0%,48.06588969074226,,,,Not Available
12,662 Huntington Ave-collegeUniversity,Yes,College/University,662 Huntingtn Ave,02115,51729,150.7,Not applicable to this property type,,College/University,1995.0,538.2,10.4,7793999.9,37%,63%,0%,9.976995495756732,,,,0401844000
13,Administration Building/Wilkens Science Center,Yes,College/University,400 The Fenway,02115,222865,176.3,Not applicable to this property type,,"College/University, Data Center, Parking",1919.0,2044,12.3,29287621.4,38%,62%,0%,18.106203318628012,,"Two buildings sharing utility meters. Building contains classrooms, science labs, office spaces, parking as well as a small dining hall.

Gross square footage includes 56,712 square feet for parking garage.",,0401847000
14,Alumnae Hall,Yes,College/University,321R Brookline Avenue,02115,7600,153.4,Not applicable to this property type,,College/University,1905.0,87.2,11.5,1165722.1,50%,50%,0%,,,"Chiller serving multiple buildings located on roof. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402012000
15,Arnold Hall,Yes,College/University,78 Pilgrim Road,02115,22000,113.9,Not Available,,College/University,1951.0,168.3,7.7,2506044.5,32%,68%,0%,34.41818181818182,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402013000
16,"Asian,Kennedy,Smith Campus",Yes,College/University,"125,129,131 Hemenway street",02115,110798,80.7,Not applicable to this property type,,College/University,1903.0,557.8,5,8941435.1,21%,79%,0%,35.95191248939511,,,,Not Available
17,Bartol Hall,Yes,College/University,84 Pilgrim Road,02115,25400,176.6,Not applicable to this property type,,College/University,1953.0,314.4,12.4,4484554.9,39%,61%,0%,101.29133858267717,,"Dining Hall; Residence Campus central gas powered steam plant is located in this building. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402012000
18,"Cahners,Cushing,kerr,Melvin Campus",Yes,College/University,90 The Fenway,02115,99293,111.6,Not applicable to this property type,,College/University,1923.0,675.1,6.8,11085086.7,18%,82%,0%,24.412597061222847,,,,Not Available
19,Columbus Place,Yes,College/University,716 Columbus Avenue,02115,124192,94.1,Not applicable to this property type,,College/University,1910.0,874.9,7,11689329.9,50%,50%,0%,6.761305076011337,,,,Not Available
20,Davenport Commons A,Yes,College/University,700 Columbus Avenue,02115,122719,72.7,Not applicable to this property type,,College/University,2001.0,595.6,4.9,8925320.2,31%,69%,0%,34.585516505186646,,,,Not Available
21,Davenport Commons B,Yes,College/University,696 Columbus Avenue,02115,76325,75.4,Not applicable to this property type,,College/University,2001.0,392.3,5.1,5757217.6,34%,66%,0%,35.82705535538814,,,,Not Available
22,Dix Hall,Yes,College/University,30 Pilgrim Road,02115,22000,108.5,Not Available,,College/University,1953.0,156.8,7.1,2386586.8,29%,71%,0%,46.67727272727273,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402016000
23,Evans Hall,Yes,College/University,305 Brookline Avenue,02115,31900,96.8,Not Available,,College/University,1938.0,191.1,6,3087064.4,20%,80%,0%,33.63949843260188,,"Building served by central gas powered steam plant; gas usage has been apportioned by square foot. For information about recent energy efficiency projects, please visit green.simmons.edu.",green.simmons.edu.,0402022000
