,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
0,Harpoon,Yes,Other,306 Northern Ave,1220,"47,515",Not Available,Not Available,,Other,1943, Not Available ,Not Available, Not Available ,,,,,,,,602674000,"2015, 2016, 2017, "
1,SMFA Mission Hill,Yes,Other - Education,160 St Alphonsus St,1225,"45,000",Not Available,Not Available,,Other - Education,1920, Not Available ,Not Available, Not Available ,,,,,,,,1000599000,"2014, 2016, 2017, "
2,Commonwealth Apartments,Yes,Multifamily Housing,1293 Commonwealth Avenue,1234,"117,241",42.6,99,,Multifamily Housing,1905,464.6,4,"4,998,855.70",40.40%,59.60%,,37.1,,The Tax Assessor Database has incorrectly recorded the GFA for this property and flagged it as required to report on only one part of the property. The usage recorded here accurately reflects the for the property. ,,2101031000,"2015, 2016, 2017, "
3,River House Condo Trust,Yes,Multifamily Housing,3000 Davenport Avenue Suite 201,2021,"178,000",56.8,92,,Multifamily Housing,1900,621.5,3.5,"10,109,996.30",25.80%,74.20%,,29.8,,,,502442001,"2015, 2016, 2017, "
4,44 School Street LLC,Yes,Office,44 School Street,2026,"58,921",26.3,100,,Office,1924,132.6,2.3,"1,552,224.50",100.00%,,,10.9,,,,304704000,"2014, 2015, 2016, 2017, "
5,10 Necco Street,Yes,Parking,10 Necco Street,2038,"160,180",5.1,Not Available,,Parking,1980,58.1,0.4,"679,479.30",100.00%,,,0.1,,,,601166070,"2017, "
6,One Beacon,Yes,Office,1 Beacon Street,2108,"1,136,283",98.2,82,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Data Center, Office, Parking",1973,"8,319.80",7.3,"111,572,120.20",43.60%,1.00%,55.40%,10.2,,,,302720000,"2014, 2015, 2016, 2017, "
7,Center Plaza,Yes,Office,1 Center Plaza,2108,"741,231",69,87,"2016, 2015","Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",1963,"3,895.80",5.3,"51,140,198.50",71.30%,28.70%,,9.9,,"This property is identified as 3 buildings for tax purposes.  However, it is actually one physical building and is benchmarked as such.  The other two tax parcel numbers are:Center Plaza 1 - 0302713000Center Plaza 2 - 0302715000Center Plaza 3 - 0302717000The building has one 600 Sq Ft ""IT room"" but is not currently configured to benchmark this as data center space per ENERGY STAR requirements.10/14/2014 - Retail space benchmarked 4/20/2016 - Profile updated based on new building measurements from file ""Center Plaza ENERGY STAR Sq Footage UPDATE 4.15.16"".  Back-up of old profile saved as ""Center Plaza ENERGY STAR Profile Back-Up - 2016-04-20.xls"".  6/1/2016 - Parking sq ft updated. ",,0302713000 0302715000 0302717000,"2014, 2015, 2016, 2017, "
8,Ames Hotel,Yes,Hotel,1 Court Street ,2108,"95,000",86.6,49,,Hotel,1893,596.2,6.3,"8,223,063.50",60.00%,40.00%,,25,,,,302885000,"2017, "
9,One Washington Mall,Yes,Office,1 Washington Mall,2108,"156,169",Not Available,Not Available,,"Office, Retail Store",1972, Not Available ,Not Available, Not Available ,,,,,,,,302890000,"2014, 2015, 2016, 2017, "
