,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Electric,Y_Very_Low_E,Y_Low_E,Y_Medium_E,Y_High_E,Y_Very_High_E
0,26.2,0.7607119051174647,0.9479755759343536,1911.0,1,0,0,0,0,0,0,0,0,0,14.668765037072637,0,0,1,0,0
1,19.1,0.7928419520012792,0.9486865931671659,1911.0,1,0,0,0,0,0,0,0,0,0,8.189697140578737,0,1,0,0,0
2,33.3,0.8085002659889607,0.9516728655449781,1911.0,1,0,0,0,0,0,0,0,0,0,7.030623274446024,0,1,0,0,0
3,48.05,0.8370843148187467,0.9557967654952899,1911.0,1,0,0,0,0,0,0,0,0,0,7.021731680703277,0,1,0,0,0
4,62.3,0.8481925667872807,0.9574084045563315,1911.0,1,0,0,0,0,0,0,0,0,0,8.29690330297833,0,1,0,0,0
5,64.65,0.8142958757116743,0.9546591379227902,1911.0,1,0,0,0,0,0,0,0,0,0,8.587730786443803,0,1,0,0,0
6,73.85,0.901789247051935,0.9511277523331553,1911.0,1,0,0,0,0,0,0,0,0,0,8.815886131846412,0,1,0,0,0
7,74.65,0.8980780232821273,0.9454870156195101,1911.0,1,0,0,0,0,0,0,0,0,0,9.044513943997922,0,1,0,0,0
8,69.2,0.900327634950812,0.9424059409439897,1911.0,1,0,0,0,0,0,0,0,0,0,7.977889144688128,0,1,0,0,0
9,54.0,0.8200660660934984,0.9439701788561771,1911.0,1,0,0,0,0,0,0,0,0,0,7.426402908211452,0,1,0,0,0
10,48.55,0.7801195718862877,0.948402186274041,1911.0,1,0,0,0,0,0,0,0,0,0,7.375355756887422,0,1,0,0,0
11,45.25,0.7441003658464418,0.9524075833522176,1911.0,1,0,0,0,0,0,0,0,0,0,6.973500892145871,0,1,0,0,0
0,26.2,0.23735773858365808,0.3991476109197278,1986.0,1,0,0,0,0,0,0,0,0,0,3.7707241663600812,1,0,0,0,0
1,19.1,0.2473829731272814,0.3994469865967014,1986.0,1,0,0,0,0,0,0,0,0,0,2.105227593809292,1,0,0,0,0
2,33.3,0.2522686886960092,0.40070436443999075,1986.0,1,0,0,0,0,0,0,0,0,0,1.807278323603023,1,0,0,0,0
3,48.05,0.2611874990158703,0.4024407433664378,1986.0,1,0,0,0,0,0,0,0,0,0,1.804992667835922,1,0,0,0,0
4,62.3,0.2646535017813477,0.4031193282342448,1986.0,1,0,0,0,0,0,0,0,0,0,2.1327858010831298,1,0,0,0,0
5,64.65,0.25407703796495396,0.4019617422832801,1986.0,1,0,0,0,0,0,0,0,0,0,2.207545347464397,1,0,0,0,0
6,73.85,0.281376766840865,0.4004748430876443,1986.0,1,0,0,0,0,0,0,0,0,0,2.2661945161176256,1,0,0,0,0
7,74.65,0.28021878880022494,0.39809979605032003,1986.0,1,0,0,0,0,0,0,0,0,0,2.324965136152983,1,0,0,0,0
8,69.2,0.2809207138454074,0.39680250145010093,1986.0,1,0,0,0,0,0,0,0,0,0,2.050780642977745,1,0,0,0,0
9,54.0,0.2558774558774559,0.39746112793944294,1986.0,1,0,0,0,0,0,0,0,0,0,1.9090166652985052,1,0,0,0,0
10,48.55,0.24341332922769007,0.399327236325912,1986.0,1,0,0,0,0,0,0,0,0,0,1.895894584016619,1,0,0,0,0
11,45.25,0.2321745971483275,0.4010137193061969,1986.0,1,0,0,0,0,0,0,0,0,0,1.792594555280681,1,0,0,0,0
0,26.2,0.41323243111066343,0.5072500888771541,1981.0,1,0,0,0,0,0,0,0,0,0,4.0140246899068694,1,0,0,0,0
1,19.1,0.4306860522465757,0.5076305454666413,1981.0,1,0,0,0,0,0,0,0,0,0,2.241064359682671,1,0,0,0,0
2,33.3,0.43919193090141895,0.5092284631424883,1981.0,1,0,0,0,0,0,0,0,0,0,1.9238903437158161,1,0,0,0,0
3,48.05,0.45471930191987886,0.5114351113615148,1981.0,1,0,0,0,0,0,0,0,0,0,1.9214572093158986,1,0,0,0,0
4,62.3,0.46075350479677263,0.5122974796310195,1981.0,1,0,0,0,0,0,0,0,0,0,2.270400720425689,1,0,0,0,0
5,64.65,0.4423402106632766,0.5108263808183351,1981.0,1,0,0,0,0,0,0,0,0,0,2.349984018418637,1,0,0,0,0
6,73.85,0.48986818847167063,0.5089367797572146,1981.0,1,0,0,0,0,0,0,0,0,0,2.4124174398597558,1,0,0,0,0
7,74.65,0.48785218476451614,0.5059184908139484,1981.0,1,0,0,0,0,0,0,0,0,0,2.4749801491577905,1,0,0,0,0
8,69.2,0.48907421440892135,0.5042698455928366,1981.0,1,0,0,0,0,0,0,0,0,0,2.1831042980908557,1,0,0,0,0
9,54.0,0.4454746821805646,0.5051068500897088,1981.0,1,0,0,0,0,0,0,0,0,0,2.0321932047734204,1,0,0,0,0
10,48.55,0.4237750258395155,0.5074783628308465,1981.0,1,0,0,0,0,0,0,0,0,0,2.018224440174205,1,0,0,0,0
11,45.25,0.40420874328446194,0.5096216016182918,1981.0,1,0,0,0,0,0,0,0,0,0,1.9082591264783988,1,0,0,0,0
0,26.2,4.732451750818761,0.5987214163795918,1902.0,1,0,0,0,0,0,0,0,0,0,6.111732295421442,0,1,0,0,0
1,19.1,4.932335432941125,0.5991704798950521,1902.0,1,0,0,0,0,0,0,0,0,0,3.4122324801914306,1,0,0,0,0
2,33.3,5.029747100810884,0.6010565466599862,1902.0,1,0,0,0,0,0,0,0,0,0,2.9293050379344376,1,0,0,0,0
3,48.05,5.207570835420533,0.6036611150496568,1902.0,1,0,0,0,0,0,0,0,0,0,2.9256003606492014,1,0,0,0,0
