,Temperature,WI,GHGI,Age,Uses_College,Uses_Sports,Uses_ResidentHousing,Uses_Laboratory,Uses_Office,Uses_Hotel,Uses_Distribution,Uses_Food,Uses_Worship,Uses_Medical,Y_Gas,Y_Very_Low_G,Y_Low_G,Y_Medium_G,Y_High_G,Y_Very_High_G
0,26.2,0.7607119051174647,0.9479755759343536,1911.0,1,0,0,0,0,0,0,0,0,0,7.581128263600498,1,0,0,0,0
1,19.1,0.7928419520012792,0.9486865931671659,1911.0,1,0,0,0,0,0,0,0,0,0,3.8224160300580645,1,0,0,0,0
2,33.3,0.8085002659889607,0.9516728655449781,1911.0,1,0,0,0,0,0,0,0,0,0,2.558246453905142,1,0,0,0,0
3,48.05,0.8370843148187467,0.9557967654952899,1911.0,1,0,0,0,0,0,0,0,0,0,1.7056844326116087,1,0,0,0,0
4,62.3,0.8481925667872807,0.9574084045563315,1911.0,1,0,0,0,0,0,0,0,0,0,1.2387172670653237,1,0,0,0,0
5,64.65,0.8142958757116743,0.9546591379227902,1911.0,1,0,0,0,0,0,0,0,0,0,1.165050861020739,1,0,0,0,0
6,73.85,0.901789247051935,0.9511277523331553,1911.0,1,0,0,0,0,0,0,0,0,0,0.4894482174863894,1,0,0,0,0
7,74.65,0.8980780232821273,0.9454870156195101,1911.0,1,0,0,0,0,0,0,0,0,0,2.2749070910432745,1,0,0,0,0
8,69.2,0.900327634950812,0.9424059409439897,1911.0,1,0,0,0,0,0,0,0,0,0,1.9410536520889494,1,0,0,0,0
9,54.0,0.8200660660934984,0.9439701788561771,1911.0,1,0,0,0,0,0,0,0,0,0,2.2165351135159646,1,0,0,0,0
10,48.55,0.7801195718862877,0.948402186274041,1911.0,1,0,0,0,0,0,0,0,0,0,1.9093748472750078,1,0,0,0,0
11,45.25,0.7441003658464418,0.9524075833522176,1911.0,1,0,0,0,0,0,0,0,0,0,3.3884377703290403,1,0,0,0,0
0,26.2,0.23735773858365808,0.3991476109197278,1986.0,1,0,0,0,0,0,0,0,0,0,10.644764032466949,1,0,0,0,0
1,19.1,0.2473829731272814,0.3994469865967014,1986.0,1,0,0,0,0,0,0,0,0,0,5.367105694444871,1,0,0,0,0
2,33.3,0.2522686886960092,0.40070436443999075,1986.0,1,0,0,0,0,0,0,0,0,0,3.592068210937027,1,0,0,0,0
3,48.05,0.2611874990158703,0.4024407433664378,1986.0,1,0,0,0,0,0,0,0,0,0,2.394974424345084,1,0,0,0,0
4,62.3,0.2646535017813477,0.4031193282342448,1986.0,1,0,0,0,0,0,0,0,0,0,1.7392995544162406,1,0,0,0,0
5,64.65,0.25407703796495396,0.4019617422832801,1986.0,1,0,0,0,0,0,0,0,0,0,1.6358635641257824,1,0,0,0,0
6,73.85,0.281376766840865,0.4004748430876443,1986.0,1,0,0,0,0,0,0,0,0,0,0.6872408169466545,1,0,0,0,0
7,74.65,0.28021878880022494,0.39809979605032003,1986.0,1,0,0,0,0,0,0,0,0,0,3.1942276054356915,1,0,0,0,0
8,69.2,0.2809207138454074,0.39680250145010093,1986.0,1,0,0,0,0,0,0,0,0,0,2.72545950713569,1,0,0,0,0
9,54.0,0.2558774558774559,0.39746112793944294,1986.0,1,0,0,0,0,0,0,0,0,0,3.1122667276769005,1,0,0,0,0
10,48.55,0.24341332922769007,0.399327236325912,1986.0,1,0,0,0,0,0,0,0,0,0,2.680978871754007,1,0,0,0,0
11,45.25,0.2321745971483275,0.4010137193061969,1986.0,1,0,0,0,0,0,0,0,0,0,4.757750990315102,1,0,0,0,0
0,26.2,0.41323243111066343,0.5072500888771541,1981.0,1,0,0,0,0,0,0,0,0,0,16.205409364766176,0,1,0,0,0
1,19.1,0.4306860522465757,0.5076305454666413,1981.0,1,0,0,0,0,0,0,0,0,0,8.170791256355342,1,0,0,0,0
2,33.3,0.43919193090141895,0.5092284631424883,1981.0,1,0,0,0,0,0,0,0,0,0,5.468504106512097,1,0,0,0,0
3,48.05,0.45471930191987886,0.5114351113615148,1981.0,1,0,0,0,0,0,0,0,0,0,3.6460687006570156,1,0,0,0,0
4,62.3,0.46075350479677263,0.5122974796310195,1981.0,1,0,0,0,0,0,0,0,0,0,2.6478803288924007,1,0,0,0,0
5,64.65,0.4423402106632766,0.5108263808183351,1981.0,1,0,0,0,0,0,0,0,0,0,2.4904111205009034,1,0,0,0,0
